id|enun|op1|op2|op3|op4|op5|resp|year|idimg
49|Respecto al insulinoma, señale la respuesta correcta:|Es un tumor endocrino pancreático cuya resección quirúrgica supone la curación en la mayoría de casos|Suele ser un tumor multifocal y maligno en la mayoría de los casos|Se asocia a MEN tipo IIa|Suele ser un tumor de localización extrapancreática|El tratamiento de elección es la radiofrecuencia percutánea|1|2013|0
50|Un paciente con EPOC grave acude agudizado a Urgencias y presenta una gasometría arterial extraída con FiO2 del 31% a nivel del mar con una PaO2 de 86 mm Hg, PaCO2 65 mm Hg, pH 7.13 y Bicarbonato 27 mmol/litro. ¿Cuál de la siguientes afirmaciones es FALSA?|El paciente está en acidosis respiratoria.|El gradiente alveolo-arterial de oxígeno está elevado.|Se debería considerar iniciar ventilación mecánica.|El nivel de bicarbonato es normal.|El paciente está hiperventilando.|5|2013|0
51|Acude a revisión a la consulta de alergia una mujer de 53 años de edad con asma bronquial. Refiere repetidas agudizaciones con clínica nocturna, utilización frecuente de medicación de rescate y disnea de esfuerzo al caminar en llano. Tiene una espirometría que muestra un cociente prebroncodilatador del FEV1/FVC del 60% y un FEV1 del 55%. Las pruebas cutáneas son positivas para ácaros y la IgE total de 150 UI/ml. La paciente está siendo tratada con una combinación de salmeterol/budesonida a dosis altas (50/500 mg: 2 inhalaciones dos veces al día), prednisona oral de mantenimeinto (10 mg/día) y teofilina. De las siguientes opciones, ¿cuál es la actitud terapéutica más aconsejable?|Cambiar a una combinación con dosis altas de budesonida y formoterol.|Aumentar la dosis de prednisona a 30 mg/día.|Pautar tratamiento nebulizado en el domicilio.|Añadir omalizumab.|Añadir sulfato de magnesio.|4|2013|0
52|Un hombre de 67 años consulta por disnea de moderados esfuerzos de aparición progresiva en los últimos años.Tiene expectoración blanquecina diaria y a veces ruidos respiratorios, especialmente en invierno con las infecciones respiratorias. Ha sido fumador de unos 20 cigarrillos diarios durante los últimos 45 años. En la exploración se encuentra eupneico, normocoloreado, con una saturación de oxígeno del 94%, y presenta disminución generalizada del murmullo vesicular en la auscultación torácica como únicos hallazgos de interés. La radiografía de tórax muestra una silueta cardiaca alargada, con signos de hiperinsuflación o atrapamiento aéreo pulmonar, sin otras alteraciones. Se realiza una espirometría el siguiente resultado: FVC 84%, FEV1 58%, FEV1/FVC 61%, sin cambios tras broncodilatador. Entre los señalados, indique el tratamiento más adecuado para este paciente.|Oxigenoterapia domiciliaria con fuente portátil de oxigeno para deambulación.|Corticoide inhalado diario.|Antagonista de leucotrienos por vía oral.|Corticoide oral durante tres meses.|Tiotropio inhalado.|5|2013|0
53|Hombre de 71 años, camarero jubilado, no fumador, que consulta por ronquidos nocturnos. El paciente tiene un índice de masa corporal de 31,5 Kg/m2 y refiere ligera somnolencia diurna postprandial (Escala de Somnolencia de Epworth de 3) sin otros síntomas, signos o antecedentes clínicos relevantes. El índice de apneahipopnea obtenido en la polisomnografía fue de 18. Con estos datos, ¿cuál es la medida a adoptar más adecuada en este paciente?|Uvulopalatofaringoplastia.|CPAP (Presión Positiva Contínua en la Vía Aérea) nasal.|Oxigenoterapia nocturna.|Ventilación mecánica no invasiva.|Medidas higiénico-dietéticas y control evolutivo.|5|2013|0
54|¿Cuál es el índice más empleado para establecer la gravedad de la EPOC?.|Volumen espiratorio forzado en el primer segundo (FEV1).|Puntuación obtenida en los cuestionarios de calidad de vida.|Distancia recorrida en la prueba de la marcha de 6 minutos.|Índice de masa corporal.|Grado de disnea.|1|2013|0
55|Una capacidad vital normal en decúbito supino (es decir no inferior al 5% de la capacidad vital sentando) nos indica:|La capacidad vital no se debe medir nunca en decúbito supino.|Que el paciente no tiene una debilidad clínicamente relevante de los músculos inspiratorios.|Que el paciente no tiene un síndrome hepatopulmonar.|Que el paciente no tiene enfisema clínicamente relevante.|Que el paciente no tiene un síndrome de apnea obstructiva del sueño.|2|2013|0
56|En la auscultación respiratoria se producen una serie de sonidos básicos que debemos reconocer y por ello propongo una serie de parejas (sonidos / posibles patologías) que se relacionan, salvo en un caso que no existe ninguna congruencia.|Estridor – obstrucción bronquiolar.|Crepitantes finos - fibrosis intersticial.|Crepitantes que recuerdan al frote de dos trozos de cuero - inflamación pleural.|Crepitantes gruesos – bronquitis aguda.|Una respiración superficial con difícil audición de los ruidos respiratorios - enfermedad neuromuscular.|1|2013|0
57|Mujer de 56 años de edad, con antecedentes de esquizofrenia bien controlada, sin hábitos tóxicos. Ingresada por neumonía en lóbulo medio con un pequeño derrame pleural metaneumónico asociado y en tratamiento con levofloxacino 500 mg/24h. Presenta buena evolución clínica salvo por persistencia de febrícula y leucocitosis al sexto día de tratamiento. No se dispone de estudios microbiológicos. La conducta más adecuada es:|Realizar toracocentesis para descartar empiema.|Se considera un fracaso terapéutico y debe modificar el tratamiento antibiótico.|La evolución es normal, debe mantenerse tratamiento hasta completar los 10 días.|Asociar corticoides a dosis de 0.5 mg/Kg/día al tratamiento antibiótico.|Realizar broncoscopia con biopsia, aspiración y lavado broncoalveolar.|1|2013|0
58|¿Cuál de las siguientes situaciones NO es causa de un aumento de los requerimientos de insulina en un paciente diabético?|Insuficiencia renal.|Infección urinaria.|Encamamineto por fractura.|Tratamiento con corticoides.|Estrés psíquico.|1|2013|0
59|Diabético tipo 1 que acude a Urgencias por disnea y malestar general. En la analítica presenta glucemia 450 mg/dl, Na 142 mEq/l, K 4 mEq/l, pH 7.15, bicarbonato 12 mmol/l. ¿Qué tratamiento NO estaría indicado?|Suero glucosado 5% iv cuando la glucemia sea menor de 250 mg/dl.|Insulina rápida humana iv.|Bicarbonato sódico 1M 100 cc iv en 30 minutos.|Cloruro potásico 100 mEq / día diluido en los sueros.|Suero fisiológico iv rápido.|3|2013|0
60|¿Cuál de las siguientes variables NO es característica del Síndrome Metabólico?|Hipertensión arterial.|Aumento de colesterol ligado a lipoproteínas de baja densidad (LDL).|Triglicéridos>150 mg/dL.|Metabolismo de la glucosa alterado.|Descenso de colesterol ligado a lipoproteínas de alta densidad (HDL).|2|2013|0
61|Una mujer de 76 años nos consulta porque está preocupada por su riesgo de sufrir un accidente cerebrovascular ya que su madre falleció por esta causa hace un año. Está diagnosticada de hipertensión arterial y diabetes mellitus tipo 2 por lo que sigue tratamiento con glipizida, aspirina, enalapril y atorvastatina. Fuma 20 cigarrillos al día y lleva una vida sedentaria. A la exploración se detecta una presión arterial de 150/80 mm de Hg. En la analítica destaca una hemoglobina A1C de 8% y un LDL colesterol de 110 mg/dl. ¿Cuál de las siguientes acciones se asocia con una mayor reducción del riesgo de sufrir un accidente cerebrovascular?|Añadir al tratamiento un antioxidante.|Abandonar el tabaco.|Conseguir un óptimo control de la presión arterial.|Conseguir unos niveles de LDL inferiores a 100 mg/dl.|Conseguir unos niveles óptimos de hemoglobina A1C.|3|2013|0
62|Entre las causas posibles de galactorrea se encuentran las siguientes, EXCEPTO:|Hipertiroidismo.|Adenoma hipofisario.|Tratamiento con paroxetina.|Tratamiento con antagonistas del calcio.|Producción ectópica de prolactina por un carcinoma broncogénico.|1|2013|0
63|En relación con la neoplasia endocrina múltiple tipo 2 indique la afirmación cierta:|Es característico el feocromocitoma de localización extraadrenal.|La existencia de hiperparatiroidismo primario es infrecuente.|Suelen aparecer tumores carcinoides que se localizan en el timo.|La presencia del gastrinoma condiciona la morbilidad y la mortalidad.|El estudio de la mutación del protooncogen RET tiene importancia en su manejo.|5|2013|0
64|Un paciente con soporte nutricional enteral, presenta a las 72 horas de iniciar la nutricion enteral, una analitica que muestra una hipofosforemia e hipopotasemia, con clínica de insuficiencia cardiaca. El paciente es diagnosticado de síndrome de realimentación. Indique cuál de los siguientes factores NO se considera de riesgo para que un paciente presente este cuadro:|Ancianos.|Vómitos y diarrea prolongados.|Malnutrición calórica previa.|Anorexia nerviosa.|Obsesidad no mórbida.|5|2013|0
65|Remiten a su consulta a un paciente con obesidad (índice de masa corporal 38). En la historia clínica el paciente refiere que presenta obesidad desde los 17 años (en la actualidad tienen 36 años), habiendo realizado múltiples dietas con pérdidas ponderales que oscilan entre 5 y 10 kg pero que posteriormente ha recuperado el peso. En la actualidad el paciente realiza una dieta de 1500 Kcal (autoadministrada y no restringida en grasas) con un buen seguimiento de dicha dieta, realizando una hora de ejercicio aeróbico durante 4 días a la semana. Ha perdido 3 kg pero precisa una pérdida añadida de 7 kg más. Ante la posibilidad de añadir un fármaco frente a la obesidad, ¿cuál utilizaría para disminuir la absorción de grasas?|Sibutramina.|Metformina.|Liraglutida.|Orlistat.|Topiramato.|4|2013|0
66|Un paciente de 74 años con resección intestinal tras una trombosis mesentérica, acude a consulta por cansancio y dolor óseo. Habia sufrido una fractura de Colles tres meses antes. Los estudios analíticos ponen de manifiesto una anemia de 9.5 g/dl, microcítica, albúmina 3.5 g/dl, calcio 7.5 mg/dl, fosfato 2.0 mg/dl y fosfatasa alcalina 224 UI (normal hasta 120 UI/l). Las radiografías del fémur muestran unas bandas radiolúcidas perpendiculares a la cortical en el lado interno de su parte superior. ¿Cuál es el diagnóstico más probable?|Osteoporosis.|Osteomalacia.|Metátasis de cáncer de próstata.|Enfermedad de Paget.|Osteitis fibrosa.|2|2013|0
67|Una paciente de 56 años consultó por dolores en columna dorso-lumbar y dificultad progresiva para realizar las tareas habituales. En los últimos 5 años aumentó de peso, tiene equímosis con facilidad y se detectó hipertensión arterial. Exploración física: Obesidad de predominio central, facies redondeada, aumento de la grasa supraclavicular, disminución de la fuerza muscular proximal y algunas estrías rojizas en abdomen. Tiene glucemia de 136 mg/dL y el estudio radiológico mostró osteoporosis y aplastamientos vertebrales. ¿Cuál le parece la interpretación y actitud más coherentes?|Osteoporosis post-menopáusica, diabetes mellitus tipo 2 e hipertensión arterial esencial, con disminución de fuerza por polineuropatía diabética.|Sugiere un Cushing. Determinar cortisol libre urinario y ACTH basal, que sirve para orientar su etiología y seleccionar la técnica de imagen más apropiada.|Parece un Cushing. Si la ACTH basal es alta, puede ser por el uso de corticoides o un tumor suprarrenal, debiendo realizar una resonancia magnética.|Probablemente tiene un Cushing. Si la ACTH basal es baja, probablemente tenga un microadenoma hipofisario, debiendo realizar una TC craneal.|Es necesario descartar enfermedad de Cushing mediante test de supresión con dexametasona y realizar una TC craneal.|2|2013|0
68|Mujer de 52 años, natural de un pueblo de la Costa Brava que al ponerse crema en el cuello nota un bulto en la zona anterior, por lo demás asintomático; acude a su médico de cabecera que confirma la presencia de una masa firme de 2 cm. de diámetro máximo, liso, que asciende con la deglución. No adenopatías papables. ¿Qué pruebas solicitaría de entrada?|Una determinación de T3 libre.|Una determinación de anticuerpos antitiroideos (antitiroglubulina y antiperoxidasa) circulante.|Una determinación de tiroglobulina en sangre.|Una TC cervical.|Una punción con aguja fina.|5|2013|0
